trans_id,lang,translation
'אליעזר קפלן/יוסף אהרונוביץ,EN,Eliezer Kaplan/Yossef Aharonovitch
'אליעזר קפלן/יוסף אהרונוביץ,HE,'אליעזר קפלן/יוסף אהרונוביץ
אליעזר קפלן/שפרינצק,EN,Eliezer Kaplan/Schprinzak
אליעזר קפלן/שפרינצק,AR,إليعيزر كابلان/شبرينتساك
אליעזר קפלן/שפרינצק,HE,אליעזר קפלן/שפרינצק
אליעזר קפלן/שרה מלכין,AR,إليعيزر كابلان/ساره مَلْخين
אליעזר קפלן/שרה מלכין,HE,אליעזר קפלן/שרה מלכין
אליעזר קפלן/שרה מלכין,EN,Eliezer Kaplan/Sarah Malhin
'אליקים ב,EN,Eliakim B'
'אליקים ב,HE,'אליקים ב
'אליקים ב,AR,إليكيم ب'
אליקים כניסה,HE,אליקים כניסה
אליקים כניסה,EN,Elyakim Entrance
אליקים כניסה,AR,إلياكيم دخول
אליקים/הר ציון,AR,إلياكيم/هار تسيون
אליקים/הר ציון,EN,Elyakim/Har Tsion
אליקים/הר ציון,HE,אליקים/הר ציון
אלירמוק/הבתולה,EN,Eliramok/Habetula
אלירמוק/הבתולה,AR,اليرموك/هَبِتولا
אלירמוק/הבתולה,HE,אלירמוק/הבתולה
אלירמוק/ח'לת אלשלח,AR,اليرموك/خلّة الشلح
אלירמוק/ח'לת אלשלח,EN,Eliramuk/Halat al Shalach
אלירמוק/ח'לת אלשלח,HE,אלירמוק/ח'לת אלשלח
אלירמוק/שכ' קסום,AR,اليرموك/ حي قسوم
אלירמוק/שכ' קסום,HE,אלירמוק/שכ' קסום
אלירמוק/שכ' קסום,EN,Eliramuk/Kassum
אלישיב,AR,إلياشيڤ
אלישיב,HE,אלישיב
אלישיב,EN,Elyashiv
אלי-תבין,EN,Eli Tavin
אלי-תבין,HE,אלי-תבין
אלי-תבין,AR,إيلي تڤين
אלכחיל/אבו חצירא,HE,אלכחיל/אבו חצירא
אלכחיל/אבו חצירא,AR,الكحيل/أبو حتسيرا
אלכחיל/אבו חצירא,EN,Alkachil/Abu Hatzeira
אלכסנדר אוריה בוסקוביץ/פאול בן חיים,EN,Alexander Uriya Boskowitz/Paul Ben Haim
אלכסנדר אוריה בוסקוביץ/פאול בן חיים,HE,אלכסנדר אוריה בוסקוביץ/פאול בן חיים
אלכסנדר אוריה בוסקוביץ/פאול בן חיים,AR,ألكسندر أوريا بوسكوڤيتش/باول بن حاييم
אלכסנדר הגדול/אפק,AR,ألكساندٍر الأكبر/أفيك
אלכסנדר הגדול/אפק,HE,אלכסנדר הגדול/אפק
אלכסנדר הגדול/אפק,EN,Alexander Hagadol/Afek
אלכסנדר זייד,AR,ألٍكساندر زايد
אלכסנדר זייד,EN,Alexander Zaid
אלכסנדר זייד,HE,אלכסנדר זייד
אלכסנדר זייד/בן צבי,EN,Alexander Zaid/Ben Zvi
אלכסנדר זייד/בן צבי,HE,אלכסנדר זייד/בן צבי
אלכסנדר זייד/בן צבי,AR,ألٍكساندر زايد/بن تْسفي
אלכסנדר זייד/הרימון,HE,אלכסנדר זייד/הרימון
אלכסנדר זייד/הרימון,EN,Alexander Zaid/HaRimon
אלכסנדר זייד/הרימון,AR,ألٍكساندر زايد/هَريمون
אלכסנדר זייד/שטרוק,EN,Alexander Zaid/Shtrook
אלכסנדר זייד/שטרוק,HE,אלכסנדר זייד/שטרוק
אלכסנדר זייד/שטרוק,AR,ألٍكساندر زايد/ستروك
אלכרום/5026,HE,אלכרום/5026
אלכרום/5026,EN,Al-Kurum/5026
אלכרום/5026,AR,الكروم / 5026
אלכרום/יציאה,EN,Al-Kurum/Exit
אלכרום/יציאה,AR,الكروم/ خروج
אלכרום/יציאה,HE,אלכרום/יציאה
אלמגור מרכז,AR,إلماجور مركز
אלמגור מרכז,EN,Almagor Center
אלמגור מרכז,HE,אלמגור מרכז
אלמוארס/באר אלסמאא,AR,الموارس /بئر السماء
אלמוארס/באר אלסמאא,HE,אלמוארס/באר אלסמאא
אלמוארס/באר אלסמאא,EN,Almuers/Be'er Alsmaa
אלמוארס/שיישך,HE,אלמוארס/שיישך
אלמוארס/שיישך,AR,الموارس/شيشخ
אלמוארס/שיישך,EN,Almuers/Sheishah
אלמוג מרכז,EN,Almog Center
אלמוג מרכז,AR,ألموج مركز
אלמוג מרכז,HE,אלמוג מרכז
אלמוג סנטר/אפרים קישון,EN,Almog Center/Efraim Kishon
אלמוג סנטר/אפרים קישון,HE,אלמוג סנטר/אפרים קישון
אלמוג סנטר/אפרים קישון,AR,ألمُوج سنتر/إفرايم كيشون
אלמוג/בן זכאי,EN,Almog/Ben Zakai
אלמוג/בן זכאי,AR,إلموج/بن زَكاي
אלמוג/בן זכאי,HE,אלמוג/בן זכאי
אלמוג/בריכת שחייה,AR,إلموج/بركة سباحة
אלמוג/בריכת שחייה,EN,Almog/Swimming Pool
אלמוג/בריכת שחייה,HE,אלמוג/בריכת שחייה
אלמוג/ברקת,EN,Almog/Bareket
אלמוג/ברקת,AR,إلموج/بَريكِت
אלמוג/ברקת,HE,אלמוג/ברקת
אלמוג/כוכב הים,EN,Almog/Kohav Hayam
אלמוג/כוכב הים,HE,אלמוג/כוכב הים
אלמוג/כוכב הים,AR,إلموج/كوخاف هَيام
אלמוג/שמחה הולצברג,AR,إلموج/سِمحا هولتسبيرغ
אלמוג/שמחה הולצברג,HE,אלמוג/שמחה הולצברג
אלמוג/שמחה הולצברג,EN,Almog/Simha Holzberg
אלמוגן /איזדרכת,HE,אלמוגן /איזדרכת
אלמוגן /איזדרכת,EN,Almogen/Izdarechet
אלמוגן /איזדרכת,AR,إلموجان/إيزدرخت
אלמוגן/לבונה,AR,إلموجان/لَفونا
אלמוגן/לבונה,HE,אלמוגן/לבונה
אלמוגן/לבונה,EN,Almogen/Levona
אלמוטראן חגאר,EN,Almotran Hagar
אלמוטראן חגאר,AR,المطران حجّار
אלמוטראן חגאר,HE,אלמוטראן חגאר
אלמידן,HE,אלמידן
אלמידן,EN,Almidan
אלמידן,AR,الميدان
אלמסאחה א,HE,אלמסאחה א
אלמסאחה א,AR,المساحة أ
אלמסאחה א,EN,Almasacha A
אלמסאחה ב,AR,المساحة ب
אלמסאחה ב,HE,אלמסאחה ב
אלמסאחה ב,EN,Almasacha B
אלמסאחה ג,EN,Almasacha C
אלמסאחה ג,HE,אלמסאחה ג
אלמסאחה ג,AR,المساحة ج
אלמסחאה א,EN,Almasacha A
אלמסחאה א,AR,المساحة أ
אלמסחאה א,HE,אלמסחאה א
אלמסחאה ב,EN,Almasacha B
אלמסחאה ב,AR,المساحة ب
אלמסחאה ב,HE,אלמסחאה ב
אלמעסרה 1,HE,אלמעסרה 1
אלמעסרה 1,EN,Elmaassara 1
אלמעסרה 1,AR,المعصرة 1
אלמעסרה 2,HE,אלמעסרה 2
אלמעסרה 2,AR,المعصرة 2
אלמעסרה 2,EN,Elmaassara 2
אלמקאזח,EN,Almakazah
אלמקאזח,HE,אלמקאזח
אלמקאזח,AR,المقازح
אלמראח,HE,אלמראח
אלמראח,EN,Almerach
אלמראח,AR,المراح
אל-משש,AR,المشاش
אל-משש,EN,Al-Mashash
אל-משש,HE,אל-משש
אלנבי,HE,אלנבי
אלנבי,EN,Allenby
אלנבי,AR,ألِنْبي
אלנבי 75,EN,Alenbi 75
אלנבי 75,AR,ألنبي 75
אלנבי 75,HE,אלנבי 75
אלנבי א,AR,ألِنبي أ
אלנבי א,HE,אלנבי א
אלנבי א,EN,Allenby A
אלנבי ב,EN,Allenby B
אלנבי ב,AR,ألنِبي ب
אלנבי ב,HE,אלנבי ב
אלנבי ג,EN,Allenby C
אלנבי ג,AR,ألنِبي ج
אלנבי ג,HE,אלנבי ג
אלנבי/אחד העם,EN,Allenby/Ehad Ha'am
אלנבי/אחד העם,HE,אלנבי/אחד העם
אלנבי/אחד העם,AR,ألِنْبي/أحاد هَعام
אלנבי/ביאליק,HE,אלנבי/ביאליק
אלנבי/ביאליק,AR,ألِنْبي/بياليك
אלנבי/ביאליק,EN,Allenby/Bialik
אלנבי/בלפור,HE,אלנבי/בלפור
אלנבי/בלפור,EN,Allenby/Balfour
אלנבי/בלפור,AR,ألِنْبي/بَلْفور
אלנבי/בן גוריון,EN,Allenby/Ben Gurion
אלנבי/בן גוריון,HE,אלנבי/בן גוריון
אלנבי/בן גוריון,AR,ألِنْبي/بِن غوريون
אלנבי/גאולה,HE,אלנבי/גאולה
אלנבי/גאולה,EN,Allenby/Geula
אלנבי/גאולה,AR,ألِنْبي/جِؤولا
אלנבי/דרור,EN,Allenby/Dror
אלנבי/דרור,HE,אלנבי/דרור
אלנבי/דרור,AR,ألِنْبي/دْرور
אלנבי/דרך בגין,EN,Allenby/Derech Begin
אלנבי/דרך בגין,AR,ألِنْبي/ديريخ بيجين
אלנבי/דרך בגין,HE,אלנבי/דרך בגין
אלנבי/הברון הירש,EN,Allenby/HaBaron Hirsch
אלנבי/הברון הירש,AR,ألِنْبي/هَبارون هيرش
אלנבי/הברון הירש,HE,אלנבי/הברון הירש
אלנבי/הירקון,EN,Allenby/Hayarkon
אלנבי/הירקון,AR,ألِنْبي/هَيارْكون
אלנבי/הירקון,HE,אלנבי/הירקון
אלנבי/הכובשים,HE,אלנבי/הכובשים
אלנבי/הכובשים,EN,Allenby/Hakovshim
אלנבי/הכובשים,AR,ألِنْبي/هَكوفْشيم
אלנבי/יהודה הלוי,AR,ألِنْبي/يهودا هَليفي
אלנבי/יהודה הלוי,EN,Allenby/Yehuda Halevy
אלנבי/יהודה הלוי,HE,אלנבי/יהודה הלוי
אלנבי/יונה הנביא,AR,ألِنْبي/يونا هَنفي
אלנבי/יונה הנביא,HE,אלנבי/יונה הנביא
אלנבי/יונה הנביא,EN,Allenby/Yona Hanavi
אלנבי/לילינבלום,AR,ألِنْبي/ليلينْبلوم
אלנבי/לילינבלום,HE,אלנבי/לילינבלום
אלנבי/לילינבלום,EN,Allenby/Lilienblum
אלנבי/מאיר,HE,אלנבי/מאיר
אלנבי/מאיר,EN,Allenby/Meir
אלנבי/מאיר,AR,ألِنْبي/مئير
אלנבי/מונטיפיורי,EN,Allenby/Montefiore
אלנבי/מונטיפיורי,HE,אלנבי/מונטיפיורי
אלנבי/מונטיפיורי,AR,ألِنْبي/مونتيفْيوري
אלנבי/מזא"ה,AR,ألِنبي/مَازِي
אלנבי/מזא"ה,HE,אלנבי/מזא"ה
אלנבי/מזא"ה,EN,Allenby/Maze
אלנבי/סלבדור,HE,אלנבי/סלבדור
אלנבי/סלבדור,AR,ألِنْبي/سلفادور
אלנבי/סלבדור,EN,Allenby/Salvador
אלנבי/רוטשילד,HE,אלנבי/רוטשילד
אלנבי/רוטשילד,AR,ألِنْبي/روتشيلد
אלנבי/רוטשילד,EN,Allenby/Rothschild
אלנבי/שד' רוטשילד,HE,אלנבי/שד' רוטשילד
אלנבי/שד' רוטשילד,AR,ألنبي/سديروت روتشيلد
אלנבי/שד' רוטשילד,EN,Alenbi/Rothschild
אלנבי/שדרות רוטשילד,HE,אלנבי/שדרות רוטשילד
אלנבי/שדרות רוטשילד,EN,Allenby/Rothschild BLVD
אלנבי/שדרות רוטשילד,AR,ألِنْبي/سديروت روتشيلد
אלנהדה,EN,Alanhada
אלנהדה,HE,אלנהדה
אלנהדה,AR,النهضة
אלנור/ אל חוארזמי,AR,النور/ الخوارزمي
אלנור/ אל חוארזמי,HE,אלנור/ אל חוארזמי
אלנור/ אל חוארזמי,EN,Elunr/Al Hoarizmi
אלנור/אלחכמה,EN,Elnur/Al Hekmeh
אלנור/אלחכמה,HE,אלנור/אלחכמה
אלנור/אלחכמה,AR,النور/ الحكمة
אלנור/אלעלאמאת,EN,Elnur/Alalamat
אלנור/אלעלאמאת,HE,אלנור/אלעלאמאת
אלנור/אלעלאמאת,AR,النور/ العلامات
אלנור/אלקאהרה,HE,אלנור/אלקאהרה
אלנור/אלקאהרה,EN,Elnur/Al Qahira
אלנור/אלקאהרה,AR,النور/ القاهرة
אלנוראס/1108,EN,Alnoras/1108
אלנוראס/1108,AR,النورس/ 1108
אלנוראס/1108,HE,אלנוראס/1108
אלנוראס/1251,AR,النورس/ 1251
אלנוראס/1251,HE,אלנוראס/1251
אלנוראס/1251,EN,Alnoras/1251
אלנוראס/1318,AR,النورس/ 1318
אלנוראס/1318,EN,Alnoras/1318
אלנוראס/1318,HE,אלנוראס/1318
אלנוראס/411,HE,אלנוראס/411
אלנוראס/411,EN,Alnoras/411
אלנוראס/411,AR,النورس/ 411
אלנוראס/454,EN,Alnoras/454
אלנוראס/454,AR,النورس/ 454
אלנוראס/454,HE,אלנוראס/454
אלנוראס/476,HE,אלנוראס/476
אלנוראס/476,AR,النورس/ 476
אלנוראס/476,EN,Alnoras/476
אלנטאון/יפה נוף,HE,אלנטאון/יפה נוף
אלנטאון/יפה נוף,AR,ألنتاون/يفي نوف
אלנטאון/יפה נוף,EN,Allentown/Yeffe Nof
אלסהלה/כביש ראשי,HE,אלסהלה/כביש ראשי
אלסהלה/כביש ראשי,EN,Al-Sahle/Main Road
אלסהלה/כביש ראשי,AR,السهلة/طريق رئيسي
אלסלאם,EN,Alsalam
אלסלאם,AR,السلام
אלסלאם,HE,אלסלאם
אלסלאם/אלנור,EN,Alsalam/Elnur
אלסלאם/אלנור,AR,السلام/النور
אלסלאם/אלנור,HE,אלסלאם/אלנור
אלסלאם/אלתקוא,EN,Alsalam/Altakoa
אלסלאם/אלתקוא,HE,אלסלאם/אלתקוא
אלסלאם/אלתקוא,AR,السلام/ التقوى
אלסנדחאוי א,AR,السندحاوي أ
אלסנדחאוי א,EN,Allesandchawee A
אלסנדחאוי א,HE,אלסנדחאוי א
אלסנדחאוי ב/טארק בן זיאד,EN,Allesandchawee B/Tareq Ben Ziad
אלסנדחאוי ב/טארק בן זיאד,HE,אלסנדחאוי ב/טארק בן זיאד
אלסנדחאוי ב/טארק בן זיאד,AR,السندحاوي ب/طارق بن زياد
אלסנדחאוי ג,EN,Allesandchawee C
אלסנדחאוי ג,AR,السندحاوي ج
אלסנדחאוי ג,HE,אלסנדחאוי ג
אלסנדחאוי ד,AR,السندحاوي د
אלסנדחאוי ד,EN,Allesandchawee D
אלסנדחאוי ד,HE,אלסנדחאוי ד
אלסנדחאוי ה/טארק בן זיאד,AR,السندحاوي ھ/طارق بن زياد
אלסנדחאוי ה/טארק בן זיאד,HE,אלסנדחאוי ה/טארק בן זיאד
אלסנדחאוי ה/טארק בן זיאד,EN,Allesandchawee E/Tareq Ben Ziad
אלסנדחאוי ו/טארק בן זיאד,EN,Allesandchawee F/Tareq Ben Ziad
אלסנדחאוי ו/טארק בן זיאד,HE,אלסנדחאוי ו/טארק בן זיאד
אלסנדחאוי ו/טארק בן זיאד,AR,السندحاوي و/طارق بن زياد
אלסנינה/מרכז,EN,Zangariyye/Center
אלסנינה/מרכז,HE,אלסנינה/מרכז
אלספא,AR,ألصّفا
אלספא,EN,Alsafa
אלספא,HE,אלספא
אלעזר בן יאיר/חברון,AR,إلعزار بن يئير/حِبرون
אלעזר בן יאיר/חברון,EN,El'azar Ben Yair/Hebron
אלעזר בן יאיר/חברון,HE,אלעזר בן יאיר/חברון
אלעזר בן יאיר/חן,HE,אלעזר בן יאיר/חן
אלעזר בן יאיר/חן,EN,El'azar Ben Yair/Hen
אלעזר בן יאיר/חן,AR,إلعزار بن يئير/حين
אלעזר בן יאיר/יאשיהו,AR,إلعزار بن يئير/ياشياهو
אלעזר בן יאיר/יאשיהו,EN,El'azar Ben Yair/Yoshiyahu
אלעזר בן יאיר/יאשיהו,HE,אלעזר בן יאיר/יאשיהו
אלעזר בן יאיר/יהודה,HE,אלעזר בן יאיר/יהודה
אלעזר בן יאיר/יהודה,AR,إلعزار بن يئير/يهودا
אלעזר בן יאיר/יהודה,EN,El'azar Ben Yair/Yehuda
אלעזר בן יאיר/ירושלים,HE,אלעזר בן יאיר/ירושלים
אלעזר בן יאיר/ירושלים,EN,El'azar Ben Yair/Jerusalem
אלעזר בן יאיר/ירושלים,AR,إلعزار بن يئير/يروشلايم
אלעזר המודעי/ריש לקיש,EN,El'azar Hamoda'i/Rish Lakish
אלעזר המודעי/ריש לקיש,AR,إلعزار همودعي/ريش لَكيش
אלעזר המודעי/ריש לקיש,HE,אלעזר המודעי/ריש לקיש
אלעזר פרידמן/עין גנים,HE,אלעזר פרידמן/עין גנים
אלעזר פרידמן/עין גנים,AR,إلعزار فريدمان/عين جَنيم
אלעזר פרידמן/עין גנים,EN,Elazar Friedman/En Ganim
אלערק א,HE,אלערק א
אלערק א,EN,Alaraq A
אלערק א,AR,العرق أ
אלערק ב,EN,Alaraq B
אלערק ב,AR,العرق ب
אלערק ב,HE,אלערק ב
אלערק ג,HE,אלערק ג
אלערק ג,AR,العرق ج
אלערק ג,EN,Alaraq G
אלערק ד,AR,العرق د
אלערק ד,HE,אלערק ד
אלערק ד,EN,Alaraq D
אלערק ה,HE,אלערק ה
אלערק ה,AR,العرق ھ
אלערק ה,EN,Alaraq H
אלערק ו,EN,Alaraq V
אלערק ו,HE,אלערק ו
אלערק ו,AR,العرق و
אלערק ז,AR,العرق ز
אלערק ז,HE,אלערק ז
אלערק ז,EN,Alaraq Z
אלערק ח,EN,Alaraq H
אלערק ח,AR,العرق ح
אלערק ח,HE,אלערק ח
אלערק ט,EN,Alaraq T
אלערק ט,HE,אלערק ט
אלערק ט,AR,العرق ط
אלערק י,HE,אלערק י
אלערק י,EN,Alaraq Y
אלערק י,AR,العرق ي
אלעשרה אלסאלחין,AR,العشرة الصالحين
אלעשרה אלסאלחין,HE,אלעשרה אלסאלחין
אלעשרה אלסאלחין,EN,Alashra Alsalachin
אלפאחורה/1054,AR,الفاخورة/1054
אלפאחורה/1054,EN,Alfahoura/1054
אלפאחורה/1054,HE,אלפאחורה/1054
אלפאחורה/1101,HE,אלפאחורה/1101
אלפאחורה/1101,AR,الفاخورة/1101
אלפאחורה/1101,EN,Alfahoura/1101
אלפאראבי א,AR,الفارابي أ
אלפאראבי א,HE,אלפאראבי א
אלפאראבי א,EN,Alfarabi A
אלפי מנשה,EN,Alfe Menashe
אלפי מנשה,HE,אלפי מנשה
אלפי מנשה,AR,ألفي منشيه
אלפסי/הל''ה,EN,Alfassi/HaL'H
אלפסי/הל''ה,AR,الفاسي/هيلا
אלפסי/הל''ה,HE,אלפסי/הל''ה
אלפסי/עולי הגרדום,AR,الفاسي/عولي هَجردوم
אלפסי/עולי הגרדום,HE,אלפסי/עולי הגרדום
אלפסי/עולי הגרדום,EN,Alfassi/Ole HaGardom
אלפסי/רחבת הרא''ש,EN,Alfassi/Rahavat HaRo"sh
אלפסי/רחבת הרא''ש,HE,אלפסי/רחבת הרא''ש
אלפסי/רחבת הרא''ש,AR,الفاسي/رَحفات هَروش
אלפסי/רחבת הרב קוק,HE,אלפסי/רחבת הרב קוק
אלפסי/רחבת הרב קוק,AR,الفاسي/رِحَفات هَراب كوك
אלפסי/רחבת הרב קוק,EN,Alfassi/Rahavat Harav Kook
אלקאסמי/אלראשדון,HE,אלקאסמי/אלראשדון
אלקאסמי/אלראשדון,EN,Al-Qasemi/ Alrashidun
אלקאסמי/אלראשדון,AR,القاسمي/ الراشدون
אלקאסמי/ביר בורין,AR,القاسمي/بير بورين
אלקאסמי/ביר בורין,EN,Al-Qasemi/Bir Burin
אלקאסמי/ביר בורין,HE,אלקאסמי/ביר בורין
אלקודס,AR,القدس
אלקודס,EN,Al Quds
אלקודס,HE,אלקודס
אלקודס/אל ביארק,EN,Al Quds/Al Biarq
אלקודס/אל ביארק,AR,القدس /البيارق
אלקודס/אל ביארק,HE,אלקודס/אל ביארק
אלקודס/אל מוערפה,EN,Al Quds/Al Moarfhe
אלקודס/אל מוערפה,HE,אלקודס/אל מוערפה
אלקודס/אל מוערפה,AR,القدس / المعرفة
אלקודס/אלבוסתאן,HE,אלקודס/אלבוסתאן
אלקודס/אלבוסתאן,EN,Al Quds/Albustan
אלקודס/אלבוסתאן,AR,القدس / البستان
אלקודס/אלמוארס,HE,אלקודס/אלמוארס
אלקודס/אלמוארס,EN,Al Quds/Al Mwars
אלקודס/אלמוארס,AR,القدس /الموارس
אלקודס/אלמקריזי,HE,אלקודס/אלמקריזי
אלקודס/אלמקריזי,AR,القدس / المقريزي
אלקודס/אלמקריזי,EN,Al Quds/Al Makrizi
אלקודס/אלפתח,AR,القدس / الفتح
אלקודס/אלפתח,EN,Al Quds/Alfatah
אלקודס/אלפתח,HE,אלקודס/אלפתח
אלקודס/חממה,AR,القدس / حمامة
אלקודס/חממה,EN,Al Quds/Hamama
אלקודס/חממה,HE,אלקודס/חממה
אלקודס/מכללה להנדסאים,HE,אלקודס/מכללה להנדסאים
אלקודס/מכללה להנדסאים,AR,القدس / كلية الهندسة
אלקודס/מכללה להנדסאים,EN,Al Quds/Practical engineering College
אלקודס/סאלח עלדין,HE,אלקודס/סאלח עלדין
אלקודס/סאלח עלדין,EN,Alquds/Salah Aldin
אלקודס/סאלח עלדין,AR,ألقُدس/صَلاح الدّين
אלקודס/פלסטין,HE,אלקודס/פלסטין
אלקודס/פלסטין,AR,ألقُدس/فلسطين
אלקודס/פלסטין,EN,Alquds/Palestine
אלקודס/קופת חולים,HE,אלקודס/קופת חולים
אלקודס/קופת חולים,EN,Al Quds/Kupat Holim
אלקודס/קופת חולים,AR,القدس /كوبات حوليم
אלקודס/תיכון מקיף,EN,Al Quds/Comprehensive High School
אלקודס/תיכון מקיף,AR,القدس /االثانوية الشاملة
אלקודס/תיכון מקיף,HE,אלקודס/תיכון מקיף
אלקוש 2,EN,Elkosh 2
אלקוש 2,AR,الكوش 2
אלקוש 2,HE,אלקוש 2
אלקוש מרכז א,HE,אלקוש מרכז א
אלקוש מרכז א,EN,Elkosh Center A
אלקוש מרכז א,AR,الكوش مركز أ
אלקוש מרכז ב,AR,الكوش مركز ب
אלקוש מרכז ב,EN,Elkosh Center B
אלקוש מרכז ב,HE,אלקוש מרכז ב
אלקוש מרכז ג,HE,אלקוש מרכז ג
אלקוש מרכז ג,EN,Elkosh Center C
אלקלעי/אלחריזי,AR,إلكالاي/ألحريزي
אלקלעי/אלחריזי,EN,Elkalai/ElHarizi
אלקלעי/אלחריזי,HE,אלקלעי/אלחריזי
אלקלעי/ברק בן אבינועם,AR,إلكالاي/باراك بن أڤينوعام
אלקלעי/ברק בן אבינועם,EN,Elkalai/Barak Ben Avinoam
אלקלעי/ברק בן אבינועם,HE,אלקלעי/ברק בן אבינועם
אלקלעי/יפתח הגלעדי,EN,Elkalai/Yiftach HaGila'di
אלקלעי/יפתח הגלעדי,HE,אלקלעי/יפתח הגלעדי
אלקלעי/יפתח הגלעדי,AR,إلكالاي/يفتاح هجلعادي
אלקנה/שכונה צפונית,EN,Elkana/Northern Neighborhood
אלקנה/שכונה צפונית,HE,אלקנה/שכונה צפונית
אלקנה/שכונה צפונית,AR,إلكَنا/الحي الشمالي
אל-ראם/כניסה,EN,Al- RAam/Entrance
אל-ראם/כניסה,AR,الرام/دخول
אל-ראם/כניסה,HE,אל-ראם/כניסה
אלרואי/בית נתנאל,EN,Alro'i/Bet Netanel
אלרואי/בית נתנאל,HE,אלרואי/בית נתנאל
אלרואי/בית נתנאל,AR,إلروي/بيت نتنئيل
אלרואי/העמלים,EN,Alro'i/Ha'amelim
אלרואי/העמלים,AR,إلروي/هَعمَليم
אלרואי/העמלים,HE,אלרואי/העמלים
אלרואי/נתנאל,AR,إلروي/نتنئيل
אלרואי/נתנאל,EN,Alro'i/Netane'el
אלרואי/נתנאל,HE,אלרואי/נתנאל
אלרוגמה,AR,الروجمه
אלרוגמה,HE,אלרוגמה
אלרוגמה,EN,Alrogema
אלרויס א,HE,אלרויס א
אלרויס א,AR,الرويس أ
אלרויס א,EN,Al Ruwais A
אלרויס א'/שוהדאא אלאקסא,AR,الرويس أ'/ شهداء الأقصى
אלרויס א'/שוהדאא אלאקסא,EN,Al Ruwais A/Shuadai Al Aqsa
אלרויס א'/שוהדאא אלאקסא,HE,אלרויס א'/שוהדאא אלאקסא
אלרויס ב,AR,الرويس ب
אלרויס ב,EN,Al Ruwais B
אלרויס ב,HE,אלרויס ב
אלרויס ג,HE,אלרויס ג
אלרויס ג,EN,Al Ruwais C
אלרויס ג,AR,الرويس ج
אלרויס ד,EN,Al Ruwais D
אלרויס ד,HE,אלרויס ד
אלרויס ד,AR,الرويس د
אלרויס ה,AR,الرويس ه
אלרויס ה,EN,Al Ruwais E
אלרויס ה,HE,אלרויס ה
אלרויס ה/שוהדאאי אל אקסא,EN,Al Ruwais E/Shuadai Alaqsa
אלרויס ה/שוהדאאי אל אקסא,AR,الرويس ه/ شهداء الأقصى
אלרויס ה/שוהדאאי אל אקסא,HE,אלרויס ה/שוהדאאי אל אקסא
אלרויס ו'/אלדוחה,HE,אלרויס ו'/אלדוחה
אלרויס ו'/אלדוחה,AR,الرويس و' / الدوحة
אלרויס ו'/אלדוחה,EN,Al Ruwais F'/Al Doha
אלרחמה/אלמנזול,AR,الرحمة / المنزول
אלרחמה/אלמנזול,HE,אלרחמה/אלמנזול
אלרחמה/אלמנזול,EN,Al Rahma/Elmanzool
אלשאפי/באר אלבום,EN,Al Shafie/Be'er Album
אלשאפי/באר אלבום,HE,אלשאפי/באר אלבום
אלשאפי/באר אלבום,AR,الشافي/بئر البوم
אלשאפי/בלקיס,EN,Al Shafie/Bilquis
אלשאפי/בלקיס,HE,אלשאפי/בלקיס
אלשאפי/בלקיס,AR,الشافي/بلقيس
אלשהידה ח'דיגה א,AR,الشهيدة خَديجة أ
אלשהידה ח'דיגה א,EN,Alshaida Hadija A
אלשהידה ח'דיגה א,HE,אלשהידה ח'דיגה א
אלשהידה ח'דיגה ב,HE,אלשהידה ח'דיגה ב
אלשהידה ח'דיגה ב,AR,الشهيدة خَديجة ب
אלשהידה ח'דיגה ב,EN,Alshaida Hadija B
אלשוערא,HE,אלשוערא
אלשוערא,AR,الشعراء
אלשוערא,EN,Al Shuara
אלתא/רבי שמעון בן שטח,EN,Alta/Rabbi Shimon Ben Shetah
אלתא/רבי שמעון בן שטח,AR,ألتا/رابي شِمعون بن شيتَح
אלתא/רבי שמעון בן שטח,HE,אלתא/רבי שמעון בן שטח
אלתחריר,EN,Al Tahrir
אלתחריר,HE,אלתחריר
אלתחריר,AR,التحرير
אלתרמן/אחוזה,AR,ألترمان/أحوزا
אלתרמן/אחוזה,HE,אלתרמן/אחוזה
אלתרמן/אחוזה,EN,Alterman/Ahuza
אמהות/גולדברג,AR,إمَهوت/چولدْبِرچ
אמהות/גולדברג,EN,Imahot/Goldberg
אמהות/גולדברג,HE,אמהות/גולדברג
אמונים/התאנה,HE,אמונים/התאנה
אמונים/התאנה,AR,إيمونيم/هَتِئينا
אמונים/התאנה,EN,Emunim/Hate'ena
אמיל זולא/ויקטור הוגו,EN,Emile Zola/Victor Hugo
אמיל זולא/ויקטור הוגו,AR,إميل زولا/ڤيكتور هوجو
אמיל זולא/ויקטור הוגו,HE,אמיל זולא/ויקטור הוגו
אמיל זולא/כל ישראל חברים,AR,إميل زولا/كول يسرائيل حَڤيريم
אמיל זולא/כל ישראל חברים,EN,Emile Zola/Kol Israel Haverim
אמיל זולא/כל ישראל חברים,HE,אמיל זולא/כל ישראל חברים
אמין אריף,EN,Amin Arif
אמין אריף,HE,אמין אריף
אמין אריף,AR,أمين أريف
אמין טריף,HE,אמין טריף
אמין טריף,EN,Amin Tarrif
אמין טריף,AR,أمين طريف
אמין טריף/500,HE,אמין טריף/500
אמין טריף/500,EN,Amin Tarrif/500
אמין טריף/500,AR,أمين طريف/500
אמיר/אייזנשטדט,AR,أمير/آيزنشتات
אמיר/אייזנשטדט,HE,אמיר/אייזנשטדט
